DATE,PRCP,SNOW,SNWD,TMAX,TMIN
10/26/2016,0,0,0,62,34
10/27/2016,0,0,0,66,37
10/28/2016,0,0,0,62,40
10/29/2016,0.02,0,0,61,41
10/30/2016,0,0,0,62,40
10/31/2016,0.08,0,0,57,35
11/1/2016,0.08,0,0,57,27
11/2/2016,0.18,0,0,50,24
11/3/2016,0,0,0,57,19
11/4/2016,0,0,0,61,17
11/5/2016,0,0,0,60,23
11/6/2016,0,0,0,58,32
11/7/2016,0,0,0,57,22
11/8/2016,0,0,0,59,22
11/9/2016,0,0,0,62,28
11/10/2016,0,0,0,60,25
11/11/2016,0,0,0,59,23
11/12/2016,0,0,0,59,31
11/13/2016,0,0,0,54,32
11/14/2016,0,0,0,60,33
11/15/2016,0,0,0,63,31
11/16/2016,0,0,0,59,37
11/17/2016,0.02,2,2,51,18
11/18/2016,0,0,1,30,16
11/19/2016,0,0,0,44,21
11/20/2016,0,0,0,55,28
11/21/2016,0.12,0,0,47,36
11/22/2016,0.18,2,2,39,27
11/23/2016,0,0,1,37,23
11/24/2016,0.01,0.5,1,32,19
11/25/2016,0,0,0,40,16
11/26/2016,0,0,0,43,23
11/27/2016,0,0,0,35,24
11/28/2016,0,0,0,29,22
11/29/2016,0,0,0,27,11
11/30/2016,0,0,0,27,6
12/1/2016,0.04,1,0,27,12
12/2/2016,0,0,0,24,-1
12/3/2016,0,0,0,27,6
12/4/2016,0,0,0,34,14
12/5/2016,0,0,0,30,7
12/6/2016,0,0,0,20,-10
12/7/2016,0,0,0,13,-5
12/8/2016,0,0,0,18,-10
12/9/2016,0,0,0,35,15
12/10/2016,0,0,0,41,26
12/11/2016,0.13,3,3,33,10
12/12/2016,0,0,2,27,9
12/13/2016,0,0,2,25,5
12/14/2016,0,0,2,27,2
12/15/2016,0,0,1,43,23
12/16/2016,0.21,3,3,42,6
12/17/2016,0,0,3,7,-10
12/18/2016,0,0,3,14,-4
12/19/2016,0,0,2,24,0
12/20/2016,0,0,2,36,21
12/21/2016,0,0,1,37,21
12/22/2016,0,0,1,37,7
12/23/2016,0,0,1,31,10
12/24/2016,0,0,0,43,26
12/25/2016,0,0,0,33,16
12/26/2016,0,0,0,23,13
12/27/2016,0,0,0,25,6
12/28/2016,0.02,1,1,29,14
12/29/2016,0,0,0,34,6
12/30/2016,0,0,0,40,13
12/31/2016,0,0,0,32,15
1/1/2017,0,0,0,35,10
1/2/2017,0.05,1,1,25,10
1/3/2017,0.05,2,3,22,11
1/4/2017,0.24,6,9,29,2
1/5/2017,0.1,1.5,10,2,-20
1/6/2017,0,0,10,-5,-35
1/7/2017,0,0,10,13,-12
1/8/2017,0,0,9,33,12
1/9/2017,0.02,0.5,6,38,28
1/10/2017,0.03,0.5,5,35,15
1/11/2017,0.33,5,10,32,25
1/12/2017,0,0,9,29,14
1/13/2017,0,0,9,26,18
1/14/2017,0,0,9,25,19
1/15/2017,0,0,9,21,1
1/16/2017,0,0,9,14,-12
1/17/2017,0,0,9,10,-11
1/18/2017,0,0,9,17,2
1/19/2017,0,0,9,28,7
1/20/2017,0.03,1,10,29,14
1/21/2017,0.03,1,11,23,-1
1/22/2017,0,0,11,25,5
1/23/2017,0.41,2.5,12,32,22
1/24/2017,0.04,1,13,26,7
1/25/2017,0,0,13,14,-10
1/26/2017,0,0,13,16,-6
1/27/2017,0,0,13,8,-13
1/28/2017,0,0,11,20,-5
1/29/2017,0,0,11,22,4
1/30/2017,0,0,10,35,10
1/31/2017,0,0,9,36,17
2/1/2017,0,0,8,34,11
2/2/2017,0,0,8,28,1
2/3/2017,0,0,7,32,9
2/4/2017,0.02,0.5,6,37,21
2/5/2017,0,0,5,40,20
2/6/2017,0,0,4,40,29
2/7/2017,0,0,3,40,28
2/8/2017,0,0,2,39,29
2/9/2017,0,0,1,48,32
2/10/2017,0.01,0,0,51,35
